20/20 Insight,20/20 Insight
9-9-9 Fund (Cain)/JMC Enterprises,
AARP/GS Strategies,
ABC News,
ABC/Post,ABC News/Washington Post
ABC/USA Today/Columbia,
AFSCME Polling Center,AFSCME Polling Center
AHA/Momentum Analysis,
AP-GfK,
AP-GfK (Web),
AP-GfK (web),
AP-GfK/RWJF/Stanford,
AP-GfK/Stanford,
AP-Gfk,
AP-Ipsos,
AP-Yahoo,
AP/Knowledge Networks,
AP/RWJF/Knowledge Networks,
AP/Yahoo/KN,
APC Research Inc. (Chicago Tribune),
ARG,American Research Group
ASU - Merrill/Morrison Institute,
ASU/Cronkite-Eight,
AZ Opinion,
Abacus Associates,Abacus Associates
Abt SRBI Inc/Atlanta Journal-Constitution,Abt SRBI Inc/Atlanta Journal-Constitution
Albuquerque Journal,
Albuquerque Journal/Research & Polling,Albuquerque Journal/Research & Polling
Allstate/National Journal,
Allstate/Politico,
American Insights,American Insights
American Political Consulting,
American Viewpoint,American Viewpoint
Angus-Reid,Angus Reid Global
Anzalone,
Anzalone Liszt,Anzalone Liszt Grove Research
Anzalone Liszt Grove,Anzalone Liszt Grove
Anzalone-Liszt,
Ayres McHenry,
"Ayres, McHenry",
Ayres-McHenry,
Ayres/WIS-TV,
BPN,
BYU,
Baltimore Sun/OpinionWorks,Baltimore Sun/OpinionWorks
Baselice,Baselice & Associates
Basswood,Basswood Research
Baydoun/Foster,
Behavior Research Center,Behavior Research Center (Rocky Mountain)
Bellwether,
Bendixen,
Benenson,Benenson
Benenson Strategy,
Bennett Petts and Normington,
"Bennett, Petts, Normington",
Big Ten,Big Ten
Blankenship,
Bloomberg,Bloomberg
Bloomberg/Des Moines Register/Selzer,Bloomberg/Des Moines Register/Selzer
Bloomberg/Saint Anselm/Purple Strategies,
Blue Mass.,
Boston Globe/SocialSphere,Boston Globe/SocialSphere
Boston Globe/UNH,
Braun/Tampa Bay Times/Bay News 9/WUSF,
Brilliant Corners,
Brown University,Brown University
Buffalo News/WGRZ/Siena,
CBRT/Pepperdine/M4,
CBS,CBS News/New York Times
CBS News,
CBS/NYT/YouGov,CBS/NYT/YouGov
CBS/Times,CBS News/New York Times
CHS,
CN2 Politics/Braun,
CNBC,
CNN,CNN
CNN/Time,
CNN/Time/ORC,
CNN/WMUR/UNH,
CNU/VP/WVEC,
CN|2,
CSS / GQR,
CT Capitol Report/Merriman,
Caddell/McLaughlin,
Capital Survey Research Center,Capital Survey Research Center
Capital Weekly/ Probolsky,
Capstrat/PPP,
Carlos McDonald/ Telemundo,
Castleton State College,Castleton State College
Change Congress,
Change/Revsix/InsideMichigan,
Charlotte Observer,
Chernoff Newman/MarketSearch,
Cherry,Cherry
Chicago Tribune,Chicago Tribune
Chicago Tribune/WGN,
Chilenski Strategies/Missouri Scout,
Chism Strategies,Chism Strategies
Christopher Newport,Christopher Newport U.
Christopher Newport /Times Dispatch,
Christopher Newport /WVEC/Virginian-Pilot,
Christopher Newport U,
Ciruli Associates,Ciruli Associates
Civitas,Civitas Institute
Civitas (R) / McLaughlin,
Civitas (R) / National Research,
Civitas Institute,
Civitas Institute (R) / Tel Opinon,
Civitas Institute / Tel Opinon,
Civitas Institute/National Research,
Civitas Institute/Tel Opinion Research,
Civitas Institute/Tel Opinon,
Clarity,Clarity
Clarus,Clarus Research Group
Clemson,Clemson
Cole Hargrave Snodgrass,Cole Hargrave
Colorado College/POS (R)/FMMMA,
Columbus Dispatch,Columbus Dispatch
Consensus Communications,
Constituent Dynamics,Constituent Dynamics
Cook/RT,
Cooper and Secrest,
Craciun Research,
Crain's/Charney,
Crantford,Crantford
Critical Insights,Critical Insights
DCCC,
DFA (Halter)/Research 2000,
DFM Research,DFM Research
DHM/Oregon Public Broadcasting,DHM/Oregon Public Broadcasting
Daily Kos,Daily Kos
DailyKos,
DailyKos.com,
DailyKos.com/PPP,
DailyKos.com/Research 2000,
DailyKos/PPP,
DailyKos/SEIU/PPP,
Dakota Wesleyan,
Dan Jones & Associates,Dan Jones & Associates
Dan Jones & Associates (UtahPolicy.com),
Dane & Associates,Dane & Associates
Dartmouth,Dartmouth College
Datamar,Datamar
"Davis, Hibbitts & Midghall",
Democracy Corps,Greenberg Quinlan Rosner (Democracy Corps)
Democracy Corps (D)/Resurgent Republic,
Democracy Corps (D)/Third Way,
Denno,Denno
"Denno-Noor/Lambert, Edwards & Associates",
"Denno/ Lambert, Edwards & Associates",
Denver Post/SurveyUSA,
Des Moines Register/Bloomberg/Selzer,
Des Moines Register/Selzer,Des Moines Register/Selzer
Deseret Morning News,
Deseret/Dan Jones,
Diageo/Hotline,
Diamond,
Dittman,Dittman Research
Dixie Strategies,Dixie Strategies
Down East/MPRC,
Downs Center,
Dresner Wickers,
EMC Research,
EPIC-MRA,EPIC/MRA
Eaton River/Scientific Marketing,
Economist/YouGov,
El Vocero/Univision/GQR,
Elon,Elon U.
Elon University,Elon University
Elway,
Elway/Oregonian,
Elway/Oregonian/KGW,Elway/Oregonian/KGW
Emerson College Polling Society,Emerson College Polling Society
Emerson College Polling Society/WGBH,Emerson College Polling Society/WGBH
Employee Freedom Action Committee,
Esquire/Yahoo! News,
Essman/Research,
FL Chamber of Commerce,
FM3,
FMMA,
FMMMA,Fairbank
FMWB,
FOX,FOX
FOX/Rasmussen,
Fabrizio,Fabrizio
"Fabrizio, McLaughlin",
"Fabrizio, McLaughlin & Associates","Fabrizio, Lee & Associates"
Fabrizio-McLaughlin,
"Fairbank, Maslin, Maulin, Metz & Associates",
Fairleigh Dickinson,Fairleigh Dickinson
Fako,
Feldman,Feldman Group
Field,Field
Field/UC Berkeley,
Finkelstein,
Fleming and Associates,Fleming & Associates
Fleming and Associates/WPRI,Fleming and Associates/WPRI
Florida CoC/Kitchens,
Fox,
Fox 5 Atlanta/InsiderAdvantage,
Fox News,
Fox/Rasmussen,
Franklin Pierce,
Franklin and Marshall,
Franklin and Marshall College,Franklin and Marshall College
Franklin and Marshall/Hearst-Argyle,
