Gravis Marketing/Human Events (R),2014,1/02 - 1/02,2014 Kentucky Senate: McConnell vs. Grimes
Rasmussen,2014,1/02 - 1/06,2014 National House Race
YouGov/Economist,2014,1/04 - 1/06,2014 National House Race
PPP (D),2014,1/04 - 1/06,2014 Pennsylvania Gubernatorial GE
PPP (D),2014,1/04 - 1/06,2014 Pennsylvania Gubernatorial GE
PPP (D),2014,1/04 - 1/06,2014 Pennsylvania Gubernatorial GE
PPP (D),2014,1/04 - 1/06,2014 Pennsylvania Gubernatorial GE
PPP (D),2014,1/04 - 1/06,2014 Pennsylvania Gubernatorial GE
PPP (D),2014,1/04 - 1/06,2014 Pennsylvania Governor: Corbett vs. Schwartz
PPP (D),2014,1/04 - 1/06,2014 Pennsylvania Gubernatorial GE
PPP (D),2014,1/04 - 1/06,2014 Pennsylvania Governor: Corbett vs. Wolf
Quinnipiac,2014,1/04 - 1/07,2014 National House Race
InsiderAdvantage/Fox 5 Atlanta/Morris News Service,2014,1/06 - 1/06,2014 Georgia Governor: Deal vs. Carter
Garin-Hart-Yang (D-Bowser),2014,1/06 - 1/09,2014 DC Mayor Democratic Primary
Abt SRBI Inc/Atlanta Journal-Constitution,2014,1/06 - 1/09,2014 Georgia Governor: Deal vs. Carter
Rasmussen,2014,1/06 - 1/12,2014 National House Race
Harper (R-Conservative Intelligence Briefing),2014,1/07 - 1/08,2014 Michigan Senate: Land vs. Peters
Harper (R-Conservative Intelligence Briefing),2014,1/07 - 1/08,2014 Michigan Governor: Snyder vs. Schauer
Mellman (D-Schatz),2014,1/07 - 1/13,2014 Hawaii Senate Democratic Primary
Rasmussen,2014,1/07 - 1/13,2014 National House Race
Washington Post,2014,1/09 - 1/12,2014 DC Mayor Democratic Primary
Washington Post,2014,1/09 - 1/12,2014 DC Mayor GE
PPP (D),2014,1/09 - 1/12,2014 New Hampshire Senate: Brown vs. Shaheen
PPP (D),2014,1/09 - 1/12,2014 New Hampshire Senate GE
PPP (D),2014,1/09 - 1/12,2014 New Hampshire Senate GE
PPP (D),2014,1/09 - 1/12,2014 New Hampshire Senate GE
PPP (D),2014,1/09 - 1/12,2014 New Hampshire Senate Republican Primary
PPP (D),2014,1/09 - 1/12,2014 New Hampshire Gubernatorial GE
