7News/Suffolk,
AAF/Ayers,
AAF/Fabrizio,
ABC News,
ABC News/Wash Post,
ABC/WP,
ABC/Wash Post,
AEA/CSRC,
AEA/Capital Survey,
AFP/Magellan,
AIF/McLaughlin,
AP-Ipsos,
AP-Pew,
AP/ICR,
ARG,
Alabama State,
Albuquerque Journal,
Aloha Vote/MRG,
American Insights,
American Res. Group,
American Viewpt.,
Argus Leader/Mason-Dixon,
Arizona State,
Associated Press-GfK,
Associated Press/CNBC,
Associated Press/GfK,
Atlanta Journal-Constitution,
Ayres McHenry,
Baltimore Sun,
Baltimore Sun/OpinionWorks,
Bangor Daily News/Ipsos,
Baselice & Associates,
Battleground,
Battleground (Lake),
Battleground (Tarrance),
Baydoun/Foster,
Behavior Res. Ctr,
Behavior Research Center,
Benenson Strat.,
Big10 Battleground,
Billings Gazette,
Bloomberg,
Bloomberg News,
Bloomberg/Saint Anselm,
Boston Globe,
Boston Globe/UNH,
Brown University,Brown University
CBS News,
CBS News/NY Times,
CBS News/NYT/YouGov,
CBS News/Quinnipiac,
CBS/NYT/Quinnipiac,
CEA/Hickman Analytics,
CFG/Basswood Research,
CH2/Insider Advantage,
CNBC,
CNN,
CNN/ORC,
CNN/Opinion Research,
CNN/OpinionResearch,
CNN/Time,
CNN/USA Today/Gallup,
CNN/WMUR,
CNN/WMUR/UNH,
CNU,
CNU Virginia Poll,
CNU/Times-Dispatch,
CN|2/Braun Research,
CT Capitol Report/MRG,
Caddell/McLaughlin/SAN,
Castleton State College,Castleton State College
Change Congress,
Chicago Sun-Times,
Chicago Tribune,
Chicago Tribune/WGN,
Chism Strategies,
Cincinnati Enquirer/Ohio News,
Ciruli Assoc.,
Civitas,
Civitas/TelOpinion,
Civitas/TelOpn,
Clarus Research,
Clemson,
Clemson Palmetto Poll,
Cleveland Plain Dealer,
Cole Hargrave Snodgrass & Associates,Cole Hargrave Snodgrass & Associates
Columbus Dispatch,Columbus Dispatch
Concord Monitor,
Cook Political Report,
Cook/RT Strategies,
Cooper & Secrest,Cooper & Secrest
Courier-Journal,
Courier-Journal/SurveyUSA,
Critical Insights,Critical Insights
DHM Research/OPB,
DMR/Bloomberg,
Daily Kos/PPP,
Daily Kos/R2000,
Dakota Wesleyan,
Dallas Morning News,
Dartmouth,
